,System,Algorithm,Feature Selection,Technique,N=30,N=50,N=70,N=90
0,Polly,LinearRegression,None,twise,25.24,25.30,26.01,26.60
1,Polly,LinearRegression,RandomForest,twise,25.23,26.29,26.14,26.40
2,Polly,Lasso,None,twise,25.85,25.36,26.52,26.56
3,Polly,Lasso,RandomForest,twise,25.29,25.50,26.22,26.57
4,Polly,Ridge,None,twise,25.54,25.41,26.32,26.59
5,Polly,Ridge,RandomForest,twise,25.29,25.51,26.16,26.45
6,Polly,ElasticNet,None,twise,25.85,25.36,26.52,26.56
7,Polly,ElasticNet,RandomForest,twise,25.29,25.61,26.22,26.57
8,Polly,RandomForest,None,twise,1.70,1.24,1.17,1.06
9,Polly,RandomForest,RandomForest,twise,1.54,1.53,1.63,1.51
10,Polly,GradientBoostingTree,None,twise,6.09,5.86,5.96,6.17
11,Polly,GradientBoostingTree,RandomForest,twise,2.17,2.14,2.22,1.95
12,Polly,DecisionTree,None,twise,1.58,1.44,1.53,1.21
13,Polly,DecisionTree,RandomForest,twise,1.54,1.52,1.62,1.50
14,Polly,PolynomialRegression,None,twise,nan,nan,nan,nan
15,Polly,PolynomialRegression,RandomForest,twise,10.81,10.55,10.94,10.74
